Series_Title,Genre,Rating,No_of_Votes,Weighted Rating,Rating Anomalies
The Shawshank Redemption,Drama,9.3,2343110,21790923.0,Yes
The Godfather,Crime,9.2,1620367,14907376.399999999,Yes
The Godfather,Drama,9.2,1620367,14907376.399999999,Yes
The Dark Knight,Action,9.0,2303232,20729088.0,Yes
The Dark Knight,Crime,9.0,2303232,20729088.0,Yes
The Dark Knight,Drama,9.0,2303232,20729088.0,Yes
The Godfather: Part II,Crime,9.0,1129952,10169568.0,Yes
The Godfather: Part II,Drama,9.0,1129952,10169568.0,Yes
12 Angry Men,Crime,9.0,689845,6208605.0,Yes
12 Angry Men,Drama,9.0,689845,6208605.0,Yes
The Lord of the Rings: The Return of the King,Action,8.9,1642758,14620546.200000001,Yes
The Lord of the Rings: The Return of the King,Adventure,8.9,1642758,14620546.200000001,Yes
The Lord of the Rings: The Return of the King,Drama,8.9,1642758,14620546.200000001,Yes
Pulp Fiction,Crime,8.9,1826188,16253073.200000001,Yes
Pulp Fiction,Drama,8.9,1826188,16253073.200000001,Yes
Schindler's List,Biography,8.9,1213505,10800194.5,Yes
Schindler's List,Drama,8.9,1213505,10800194.5,Yes
Schindler's List,History,8.9,1213505,10800194.5,Yes
Inception,Action,8.8,2067042,18189969.6,Yes
Inception,Adventure,8.8,2067042,18189969.6,Yes
Inception,Sci-Fi,8.8,2067042,18189969.6,Yes
Fight Club,Drama,8.8,1854740,16321712.000000002,Yes
The Lord of the Rings: The Fellowship of the Ring,Action,8.8,1661481,14621032.8,Yes
The Lord of the Rings: The Fellowship of the Ring,Adventure,8.8,1661481,14621032.8,Yes
The Lord of the Rings: The Fellowship of the Ring,Drama,8.8,1661481,14621032.8,Yes
Forrest Gump,Drama,8.8,1809221,15921144.8,Yes
Forrest Gump,Romance,8.8,1809221,15921144.8,Yes
"Il buono, il brutto, il cattivo",Western,8.8,688390,6057832.000000001,Yes
The Lord of the Rings: The Two Towers,Action,8.7,1485555,12924328.499999998,Yes
The Lord of the Rings: The Two Towers,Adventure,8.7,1485555,12924328.499999998,Yes
The Lord of the Rings: The Two Towers,Drama,8.7,1485555,12924328.499999998,Yes
The Matrix,Action,8.7,1676426,14584906.2,Yes
The Matrix,Sci-Fi,8.7,1676426,14584906.2,Yes
Goodfellas,Biography,8.7,1020727,8880324.899999999,Yes
Goodfellas,Crime,8.7,1020727,8880324.899999999,Yes
Goodfellas,Drama,8.7,1020727,8880324.899999999,Yes
Star Wars: Episode V - The Empire Strikes Back,Action,8.7,1159315,10086040.5,Yes
Star Wars: Episode V - The Empire Strikes Back,Adventure,8.7,1159315,10086040.5,Yes
Star Wars: Episode V - The Empire Strikes Back,Fantasy,8.7,1159315,10086040.5,Yes
One Flew Over the Cuckoo's Nest,Drama,8.7,918088,7987365.6,Yes
Hamilton,Biography,8.6,55291,475502.6,Yes
Hamilton,Drama,8.6,55291,475502.6,Yes
Hamilton,History,8.6,55291,475502.6,Yes
